Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_12x9.5RM7.6,1,Buzzer,
C1,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,10u,
"D1, D2, D3, D4, D5",D_DO-35_SOD27_P7.62mm_Horizontal,5,D,
J1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
"Q1, Q2, Q3, Q4, Q5",TO-92L_Inline_Wide,5,NPN,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,47,
"R10, R13, R7, R8, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,5,1k,
R11,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,125,
"R12, R3, R4, R5, R6",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,5,10k,
R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,4.7,
"SW1, SW2, SW3, SW4, SW5",SW_PUSH_6mm,5,SW_SPST,
U1,DIP-16_W7.62mm,1,4060,
U2,DIP-16_W7.62mm,1,4020,
