Designator,Mid X,Mid Y,Rotation,Layer
BZ1,224.0,-126.0,0.0,top
C1,184.0,-109.0,180.0,top
D1,218.5,-108.69,90.0,top
D2,228.5,-112.69,90.0,top
D3,238.5,-116.69,90.0,top
D4,248.5,-120.69,90.0,top
D5,202.5,-126.0,180.0,top
J1,169.3,-132.895,0.0,top
Q1,222.0,-100.04,270.0,top
Q2,232.0,-104.04,270.0,top
Q3,242.0,-108.04,270.0,top
Q4,252.0,-112.04,270.0,top
Q5,213.01,-126.05,180.0,top
R1,183.69,-118.0,180.0,top
R10,179.69,-81.5,0.0,top
R11,211.69,-131.5,0.0,top
R12,194.19,-121.0,0.0,top
R13,191.0,-126.0,0.0,top
R2,183.69,-114.0,180.0,top
R3,206.19,-100.0,0.0,top
R4,206.19,-104.0,0.0,top
R5,206.19,-108.0,0.0,top
R6,206.19,-112.0,0.0,top
R7,179.69,-93.5,0.0,top
R8,179.69,-89.5,0.0,top
R9,179.69,-85.5,0.0,top
SW1,218.75,-89.25,0.0,top
SW2,228.75,-89.25,0.0,top
SW3,238.75,-89.25,0.0,top
SW4,248.75,-89.25,0.0,top
SW5,179.75,-129.25,0.0,top
U1,173.19,-107.11,0.0,top
U2,194.19,-107.81,0.0,top
